option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX (AX1),240,"02, 03, 04, 11",214,188,162,138,114,90,2024,on
AX (AX2),120,"02, 11",–,89,78,66,55,44,2024,on
AY (AY1),240,"02, 03, 04, 12",214,188,162,138,114,90,2024,on
AY (AY2),120,"02, 12",–,89,78,66,55,44,2024,on
CY,240,"03, 04, 98",214,188,162,138,114,90,2024,on
CZ,240,"03, 04, 99",214,188,162,138,114,90,2024,on
HY (HY1),120,"12, 82",–,89,78,66,55,44,2024,on
HY (HY2),120,"12, 92",–,89,78,66,55,44,2024,on
SX,120,"02, 11",–,89,78,66,55,44,2024,on
SY,120,"02, 12",–,89,78,66,55,44,2024,on
SZ,120,"02, 13",–,89,78,66,55,44,2024,on
AX (AX1),240,"02, 03, 04, 11",214,188,162,138,114,90,2025,mj
AX (AX2),120,"02, 11",–,89,78,66,55,44,2025,mj
AY (AY1),240,"02, 03, 04, 12",214,188,162,138,114,90,2025,mj
AY (AY2),120,"02, 12",–,89,78,66,55,44,2025,mj
AZ (AZ1),240,"02, 03, 04, 13",214,188,162,138,114,90,2025,mj
AZ (AZ2),120,"02, 13",–,89,78,66,55,44,2025,mj
BX,240,"03, 04, 87",214,188,162,138,114,90,2025,mj
BY,240,"03, 04, 88",214,188,162,138,114,90,2025,mj
BZ,240,"03, 04, 89",214,188,162,138,114,90,2025,mj
DZ (DZ1),240,"02, 03, 04, 13",214,188,162,138,114,90,2025,mj
DZ (DZ2),240,"03, 04, 89",214,188,162,138,114,90,2025,mj
DZ (DZ3),240,"03, 04, 99",214,188,162,138,114,90,2025,mj
DZ (DZ4),120,"02, 13",–,89,78,66,55,44,2025,mj
KX (KX1),240,"03, 04, 11, 82",214,188,162,138,114,90,2025,mj
KX (KX2),240,"03, 04, 11, 92",214,188,162,138,114,90,2025,mj
KX (KX3),120,"11, 82",–,89,78,66,55,44,2025,mj
KX (KX4),120,"11, 92",–,89,78,66,55,44,2025,mj
KZ (KZ1),240,"03, 04, 13, 82",214,188,162,138,114,90,2025,mj
KZ (KZ2),240,"03, 04, 13, 92",214,188,162,138,114,90,2025,mj
KZ (KZ3),120,"13, 82",–,89,78,66,55,44,2025,mj
KZ (KZ4),120,"13, 92",–,89,78,66,55,44,2025,mj
SX,120,"02, 11",–,89,78,66,55,44,2025,mj
SY,120,"02, 12",–,89,78,66,55,44,2025,mj
SZ,120,"02, 13",–,89,78,66,55,44,2025,mj
AX,240,"02, 03, 04, 11",214,188,162,138,114,90,2023,mj
AY,240,"02, 03, 04, 12",214,188,162,138,114,90,2023,mj
AZ,240,"02, 03, 04, 13",214,188,162,138,114,90,2023,mj
BX,240,"03, 04, 87",208,182,156,132,108,84,2023,mj
BY,240,"03, 04, 88",208,182,156,132,108,84,2023,mj
BZ,240,"03, 04, 89",208,182,156,132,108,84,2023,mj
KY,240,"03, 04, 12, 82/92",212,186,160,136,112,88,2023,mj
KZ,240,"03, 04, 13, 82/92",212,186,160,136,112,88,2023,mj
P1,75,50,–,54,45,36,27,18,2023,mj
P3,150,"60, 80",130,114,98,81,64,48,2023,mj
SX,120,"02, 11",–,89,78,66,55,44,2023,mj
SY,120,"02, 12",–,89,78,66,55,44,2023,mj
SZ,120,"02, 13",–,89,78,66,55,44,2023,mj
AY,240,"02, 03, 04, 12",214,188,162,138,114,90,2023,on
BY,240,"03, 04, 88",214,188,162,138,114,90,2023,on
CY,240,"03, 04, 98",208,182,156,132,108,84,2023,on
CZ,240,"03, 04, 99",208,182,156,132,108,84,2023,on
HX (HX1),120,"11, 82",–,89,78,66,55,44,2023,on
HX (HX2),120,"11, 92",–,87,76,64,53,42,2023,on
HY (HY1),120,"12, 82",–,89,78,66,55,44,2023,on
HY (HY2),120,"12, 92",–,87,76,64,53,42,2023,on
HZ (HZ1),120,"13, 82",–,89,78,66,55,44,2023,on
