option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX (AX1),200,"01, 03, 21, 41",169,150,131,111,91,71,2022,mj
AX (AX2),100,"01, 21",–,75,66,55,44,34,2022,mj
AY (AY1),200,"01, 03, 22, 42",169,150,131,111,91,71,2022,mj
AY (AY2),100,"01, 22",–,75,66,55,44,34,2022,mj
BX,200,"03, 41, 87",169,149,129,109,90,71,2022,mj
BX (BXJ),100,"03, 41",85,75,65,54,43,33,2022,mj
BY,200,"03, 42, 88",169,149,129,109,90,71,2022,mj
BY (BYJ),100,"03, 42",85,75,65,54,43,33,2022,mj
CX,200,"03, 41, 67",169,149,129,109,90,71,2022,mj
CX (CXN),100,"03, 41",85,75,65,54,43,33,2022,mj
CY,200,"03, 42, 67",169,149,129,109,90,71,2022,mj
CY (CYN),100,"03, 42",85,75,65,54,43,33,2022,mj
DX (DX1),200,"01, 03, 21, 41",169,150,131,111,91,71,2022,mj
DX (DX2),200,"03, 41, 87",169,149,129,109,90,71,2022,mj
DX (DX3),200,"03, 41, 67",169,149,129,109,90,71,2022,mj
DX (DX4),100,"01, 21",–,75,66,55,44,34,2022,mj
DX (DXJ),100,"03, 41",85,75,65,54,43,33,2022,mj
DX (DXN),100,"03, 41",85,75,65,54,43,33,2022,mj
DY (DY1),200,"01, 03, 22, 42",169,150,131,111,91,71,2022,mj
DY (DY2),200,"03, 42, 88",169,149,129,109,90,71,2022,mj
DY (DY3),200,"03, 42, 67",169,149,129,109,90,71,2022,mj
DY (DY4),100,"01, 22",–,75,66,55,44,34,2022,mj
DY (DYJ),100,"03, 42",85,75,65,54,43,33,2022,mj
DY (DYN),100,"03, 42",85,75,65,54,43,33,2022,mj
HX (HX1),100,"21, 81",–,75,66,55,44,34,2022,mj
HX (HX2),100,"21, 91",–,75,66,55,44,34,2022,mj
KX (KX1),200,"03, 21, 41, 81",169,150,131,111,91,71,2022,mj
KX (KX2),200,"03, 21, 41, 91",169,150,131,111,91,71,2022,mj
KX (KX3),100,"21, 81",–,75,66,55,44,34,2022,mj
KX (KX4),100,"21, 91",–,75,66,55,44,34,2022,mj
P1,75,50,–,51,42,33,24,15,2022,mj
P2,150,"50, 60",120,102,84,66,48,30,2022,mj
P3,150,"60, 80",127,111,95,78,61,45,2022,mj
SX,100,"01, 21",–,75,66,55,44,34,2022,mj
SY,100,"01, 22",–,75,66,55,44,34,2022,mj
SZ,100,"01, 23",–,75,66,55,44,34,2022,mj
AX,200,"01, 03, 21, 41",175,156,137,117,97,77,2023,mj
AY,200,"01, 03, 22, 42",175,156,137,117,97,77,2023,mj
BX,200,"03, 41, 87",172,153,134,114,94,74,2023,mj
BY,200,"03, 42, 88",172,153,134,114,94,74,2023,mj
CX,200,"03, 41, 67",175,155,135,115,96,77,2023,mj
CY,200,"03, 42, 67",175,155,135,115,96,77,2023,mj
HX,100,"21, 81/ 91",–,78,69,58,47,37,2023,mj
KX,200,"03, 21, 41, 81/91",175,156,137,117,97,77,2023,mj
KY,200,"03, 22, 42, 81/91",175,156,137,117,97,77,2023,mj
P1,75,50,–,54,45,36,27,18,2023,mj
P3,150,"60, 80",130,114,98,81,64,48,2023,mj
SX,100,"01, 21",–,78,69,58,47,37,2023,mj
SY,100,"01, 22",–,78,69,58,47,37,2023,mj
SZ,100,"01, 23",–,78,69,58,47,37,2023,mj
AX,200,"01, 03, 21, 41",176,156,136,117,99,81,2024,mj
AY,200,"01, 03, 22, 42",176,156,136,117,99,81,2024,mj
AZ,200,"01, 03, 23, 43",176,156,136,117,99,81,2024,mj
BX,200,"03, 41, 87",175,156,137,117,97,77,2024,mj
BY,200,"03, 42, 88",175,156,137,117,97,77,2024,mj
BZ,200,"03, 43, 89",175,156,137,117,97,77,2024,mj
CX,200,"03, 41, 67",178,158,138,118,99,80,2024,mj
CY,200,"03, 42, 67",178,158,138,118,99,80,2024,mj
HX,100,"21, 81/91",–,78,68,59,50,41,2024,mj
HY,100,"22, 81/91",–,78,68,59,50,41,2024,mj
KX,200,"03, 21, 41, 81/91",176,156,136,117,99,81,2024,mj
KY,200,"03, 22, 42, 81/91",176,156,136,117,99,81,2024,mj
LX,200,"21, 41, 81/91, 83/93",176,156,136,117,99,81,2024,mj
LY,200,"22, 42, 81/91, 83/93",176,156,136,117,99,81,2024,mj
SX,100,"01, 21",–,78,68,59,50,41,2024,mj
SY,100,"01, 22",–,78,68,59,50,41,2024,mj
SZ,100,"01, 23",–,78,68,59,50,41,2024,mj
AX,200,"01, 03, 21, 41",178,157,136,118,100,83,2025,mj
AY,200,"01, 03, 22, 42",178,157,136,118,100,83,2025,mj
AZ,200,"01, 03, 23, 43",178,157,136,118,100,83,2025,mj
BX,200,"03, 41, 87",176,156,136,117,99,81,2025,mj
BY,200,"03, 42, 88",176,156,136,117,99,81,2025,mj
BZ,200,"03, 43, 89",176,156,136,117,99,81,2025,mj
CX,200,"03, 41, 67",178,158,138,118,99,80,2025,mj
CY,200,"03, 42, 67",178,158,138,118,99,80,2025,mj
HX,100,"21, 81",–,79,68,59,51,43,2025,mj
KX,200,"03, 21, 41, 81/91",178,157,136,118,100,83,2025,mj
KY,200,"03, 22, 42, 81/91",178,157,136,118,100,83,2025,mj
SX,100,"01, 21",–,79,68,59,51,43,2025,mj
SY,100,"01, 22",–,79,68,59,51,43,2025,mj
SZ,100,"01, 23",–,79,68,59,51,43,2025,mj
A,200,"01, 02, 03, 04",178,158,138,118,99,80,2023,on
C,200,"03, 04, 67",175,155,135,115,96,77,2023,on
EY,200,"03, 04, 88",175,156,137,117,97,77,2023,on
H,100,"02, 81/91",–,80,70,60,50,40,2023,on
S,100,"01, 02",–,80,70,60,50,40,2023,on
A,200,"01, 02, 03, 04",178,158,138,118,99,80,2024,on
C,200,"03, 04, 67",178,158,138,118,99,80,2024,on
EX,200,"03, 04, 87",176,156,136,117,99,81,2024,on
EY,200,"03, 04, 88",176,156,136,117,99,81,2024,on
H,100,"02, 81/91",–,80,70,60,50,40,2024,on
S,100,"01, 02",–,80,70,60,50,40,2024,on
A,200,"01, 02, 03, 04",178,158,138,119,100,82,2025,on
C,200,"03, 04, 67",178,158,138,118,99,80,2025,on
EX,200,"03, 04, 87",178,157,136,118,100,83,2025,on
EY,200,"03, 04, 88",178,157,136,118,100,83,2025,on
H,100,"02, 81/91",–,80,70,60,51,42,2025,on
S,100,"01, 02",–,80,70,60,51,42,2025,on
