option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"12, 22, 32, 42",156,137,118,100,82,65,2022,fm,
BY,"32, 42, 88",158,139,120,101,83,65,2022,fm,
CY,"32, 42, 98",152,135,118,102,86,70,2022,fm,
EV,"32, 42, 78",160,140,120,101,82,63,2022,fm,
SY,"12, 22",–,67,58,49,40,32,2022,fm,
AY,"12, 22, 32, 42",162,143,124,105,87,69,2023,fm,200.0
BY,"32, 42, 88",163,143,123,105,87,70,2023,fm,200.0
CY,"32, 42, 98",158,140,122,105,88,72,2023,fm,200.0
EV,"32, 42, 78",160,140,120,102,84,66,2023,fm,200.0
SY,"12, 22",–,70,62,53,44,35,2023,fm,100.0
AY,"12, 22, 32, 42",168,149,130,111,92,74,2024,fm,200.0
BY,"32, 42, 88",170,150,130,111,92,74,2024,fm,200.0
CY,"32, 42, 98",164,146,128,110,92,74,2024,fm,200.0
EV,"32, 42, 78",166,147,128,109,90,71,2024,fm,200.0
SY,"12, 22",–,72,64,55,46,38,2024,fm,100.0
AY,"12, 22, 32, 42",170,150,130,112,94,77,2025,fm,200.0
BY,"32, 42, 88",170,150,130,112,94,77,2025,fm,200.0
CY,"32, 42, 98",168,148,128,111,94,78,2025,fm,200.0
EV,"32, 42, 78",171,151,131,113,95,77,2025,fm,200.0
SY,"12, 22",–,71,63,54,46,38,2025,fm,100.0
BYJ,"32, 42",84,72,60,49,38,28,2022,mj,100.0
BZ,"33, 43, 89",165,144,123,103,84,65,2022,mj,200.0
CP,"33, 43, 97",159,140,121,104,87,70,2022,mj,200.0
CQ,"31, 41, 98",159,140,121,104,87,70,2022,mj,200.0
CR,"32, 42, 99",159,140,121,104,87,70,2022,mj,200.0
CRN,"32, 42",84,72,60,49,38,28,2022,mj,100.0
CX,"31, 41, 97",159,140,121,104,87,70,2022,mj,200.0
CY,"32, 42, 98",159,140,121,104,87,70,2022,mj,200.0
CYN,"32, 42",84,72,60,49,38,28,2022,mj,100.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
SW,"11, 22",–,70,61,52,44,36,2022,mj,100.0
SX,"11, 21",–,70,61,52,44,36,2022,mj,100.0
SY,"12, 22",–,70,61,52,44,36,2022,mj,100.0
SZ,"13, 23",–,70,61,52,44,36,2022,mj,100.0
AX,"11, 21, 31, 41",174,152,130,111,92,74,2023,mj,200.0
AY,"12, 22, 32, 42",174,152,130,111,92,74,2023,mj,200.0
AZ,"13, 23, 33, 43",174,152,130,111,92,74,2023,mj,200.0
BW,"32, 41, 86",171,149,127,108,90,72,2023,mj,200.0
BX,"31, 41, 87",171,149,127,108,90,72,2023,mj,200.0
BY,"32, 42, 88",171,149,127,108,90,72,2023,mj,200.0
BZ,"33, 43, 89",171,149,127,108,90,72,2023,mj,200.0
CP,"33, 43, 97",166,146,126,108,91,74,2023,mj,200.0
CQ,"31, 41, 98",166,146,126,108,91,74,2023,mj,200.0
CR,"32, 42, 99",166,146,126,108,91,74,2023,mj,200.0
CW,"32, 41, 99",166,146,126,108,91,74,2023,mj,200.0
CX,"31, 41, 97",166,146,126,108,91,74,2023,mj,200.0
CY,"32, 42, 98",166,146,126,108,91,74,2023,mj,200.0
P1,50,–,54,45,36,27,18,2023,mj,75.0
P2,"50, 60",126,108,90,72,54,36,2023,mj,150.0
P3,"60, 80",130,114,98,81,64,48,2023,mj,150.0
SX,"11, 21",–,73,64,55,46,38,2023,mj,100.0
SY,"12, 22",–,73,64,55,46,38,2023,mj,100.0
SZ,"13, 23",–,73,64,55,46,38,2023,mj,100.0
AX,"11, 21, 31, 41",168,148,128,110,93,76,2024,mj,200.0
AY,"12, 22, 32, 42",168,148,128,110,93,76,2024,mj,200.0
AZ,"13, 23, 33, 43",168,148,128,110,93,76,2024,mj,200.0
BX,"31, 41, 87",171,150,129,111,93,76,2024,mj,200.0
BY,"32, 42, 88",171,150,129,111,93,76,2024,mj,200.0
BZ,"33, 43, 89",171,150,129,111,93,76,2024,mj,200.0
CP,"33, 43, 97",165,146,127,110,93,76,2024,mj,200.0
CQ,"31, 41, 98",165,146,127,110,93,76,2024,mj,200.0
CR,"32, 42, 99",165,146,127,110,93,76,2024,mj,200.0
CX,"31, 41, 97",165,146,127,110,93,76,2024,mj,200.0
CY,"32, 42, 98",165,146,127,110,93,76,2024,mj,200.0
P2,"50, 60",126,108,90,72,54,36,2024,mj,150.0
SX,"11, 21",–,71,63,54,46,38,2024,mj,100.0
SY,"12, 22",–,71,63,54,46,38,2024,mj,100.0
SZ,"13, 23",–,71,63,54,46,38,2024,mj,100.0
AX,"11, 21, 31, 41",168,148,128,110,93,76,2025,mj,200.0
AY,"12, 22, 32, 42",168,148,128,110,93,76,2025,mj,200.0
AZ,"13, 23, 33, 43",168,148,128,110,93,76,2025,mj,200.0
BX,"31, 41, 87",169,149,129,111,93,76,2025,mj,200.0
BY,"32, 42, 88",169,149,129,111,93,76,2025,mj,200.0
BZ,"33, 43, 89",169,149,129,111,93,76,2025,mj,200.0
CP,"33, 43, 97",167,147,127,110,93,77,2025,mj,200.0
CQ,"31, 41, 98",167,147,127,110,93,77,2025,mj,200.0
CR,"32, 42, 99",167,147,127,110,93,77,2025,mj,200.0
CX,"31, 41, 97",167,147,127,110,93,77,2025,mj,200.0
CY,"32, 42, 98",167,147,127,110,93,77,2025,mj,200.0
SX,"11, 21",–,70,62,54,46,38,2025,mj,100.0
SY,"12, 22",–,70,62,54,46,38,2025,mj,100.0
SZ,"13, 23",–,70,62,54,46,38,2025,mj,100.0
CY,"32, 42, 98",154,136,118,102,87,72,2022,on,200.0
CYN,"32, 42",80,69,58,49,40,31,2022,on,100.0
CZ,"33, 43, 99",154,136,118,102,87,72,2022,on,200.0
CZN,"33, 43",80,69,58,49,40,31,2022,on,100.0
EV,"32, 42, 78",158,138,118,101,84,67,2022,on,200.0
P1,50,–,51,42,33,24,15,2022,on,75.0
SX,"11, 21",–,67,60,52,45,38,2022,on,100.0
SY,"12, 22",–,67,60,52,45,38,2022,on,100.0
SZ,"13, 23",–,67,60,52,45,38,2022,on,100.0
CY,"32, 42, 98",164,145,126,109,92,76,2023,on,200.0
CZ,"33, 43, 99",164,145,126,109,92,76,2023,on,200.0
P1,50,–,54,45,36,27,18,2023,on,75.0
SX,"11, 21",–,69,62,54,46,38,2023,on,100.0
SY,"12, 22",–,69,62,54,46,38,2023,on,100.0
SZ,"13, 23",–,69,62,54,46,38,2023,on,100.0
AX,"11, 21, 31, 41",167,147,127,110,94,78,2024,on,200.0
AY,"12, 22, 32, 42",167,147,127,110,94,78,2024,on,200.0
AZ,"13, 23, 33, 43",167,147,127,110,94,78,2024,on,200.0
BS,"31, 41, 89",169,149,129,111,94,77,2024,on,200.0
BT,"32, 42, 87",169,149,129,111,94,77,2024,on,200.0
BU,"33, 43, 88",169,149,129,111,94,77,2024,on,200.0
BX,"31, 41, 87",169,149,129,111,94,77,2024,on,200.0
BY,"32, 42, 88",169,149,129,111,94,77,2024,on,200.0
BZ,"33, 43, 89",169,149,129,111,94,77,2024,on,200.0
CX,"31, 41, 97",166,147,128,111,94,77,2024,on,200.0
CY,"32, 42, 98",166,147,128,111,94,77,2024,on,200.0
CZ,"33, 43, 99",166,147,128,111,94,77,2024,on,200.0
SX,"11, 21",–,69,61,53,46,39,2024,on,100.0
SY,"12, 22",–,69,61,53,46,39,2024,on,100.0
SZ,"13, 23",–,69,61,53,46,39,2024,on,100.0
AX,"11, 21, 31, 41",164,145,126,110,95,80,2025,on,200.0
AY,"12, 22, 32, 42",164,145,126,110,95,80,2025,on,200.0
AZ,"13, 23, 33, 43",164,145,126,110,95,80,2025,on,200.0
BS,"31, 41, 89",167,148,129,112,96,80,2025,on,200.0
BT,"32, 42, 87",167,148,129,112,96,80,2025,on,200.0
BU,"33, 43, 88",167,148,129,112,96,80,2025,on,200.0
BX,"31, 41, 87",167,148,129,112,96,80,2025,on,200.0
BY,"32, 42, 88",167,148,129,112,96,80,2025,on,200.0
BZ,"33, 43, 89",167,148,129,112,96,80,2025,on,200.0
CX,"31, 41, 97",166,147,128,112,96,81,2025,on,200.0
CY,"32, 42, 98",166,147,128,112,96,81,2025,on,200.0
CZ,"33, 43, 99",166,147,128,112,96,81,2025,on,200.0
SX,"11, 21",–,67,59,52,45,38,2025,on,100.0
SY,"12, 22",–,67,59,52,45,38,2025,on,100.0
SZ,"13, 23",–,67,59,52,45,38,2025,on,100.0
