option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
A,400.0,"01, 02, 03",337,297,257,217,177,137,2024,fm
B,400.0,"03, 66",337,297,257,217,177,137,2024,fm
C,400.0,"03, 67",337,297,257,217,177,137,2024,fm
EV,400.0,"03, 78",331,291,251,211,171,131,2024,fm
S,200.0,"01, 02",–,147,127,107,87,67,2024,fm
A,400.0,"01, 02, 03",337,297,257,217,177,137,2025,mj
B,400.0,"03, 66",337,297,257,217,177,137,2025,mj
C,400.0,"03, 67",337,297,257,217,177,137,2025,mj
"H1, H2, K3, K4",200.0,"02, 81, 91",–,147,127,107,87,67,2025,mj
"K1, K2",400.0,"02, 03, 81, 91",337,297,257,217,177,137,2025,mj
S,200.0,"01, 02",–,147,127,107,87,67,2025,mj
A,400.0,"01, 02, 03",337,297,257,217,177,137,2024,on
B,400.0,"03, 66",337,297,257,217,177,137,2024,on
C,400.0,"03, 67",337,297,257,217,177,137,2024,on
DV5,400.0,"03, 78",337,297,257,217,177,137,2024,on
"H1, H2",200.0,"02, 81/91",–,147,127,107,87,67,2024,on
"K1, K2",400.0,"02, 03, 81/91",337,297,257,217,177,137,2024,on
"K3, K4",200.0,"02, 81/91",–,147,127,107,87,67,2024,on
S,200.0,"01, 02",–,147,127,107,87,67,2024,on
A,400.0,"01, 02, 03",325,286,247,206,165,124,2022,on
B,400.0,"03, 66",325,286,247,206,165,124,2022,on
C,400.0,"03, 67",318,278,238,198,158,118,2022,on
CN,200.0,03,164,141,118,94,70,47,2022,on
EV,400.0,"03, 78",318,278,238,198,158,118,2022,on
H1,200.0,"02, 81",–,142,123,102,81,60,2022,on
H2,200.0,"02, 91",–,139,119,99,79,59,2022,on
K1,400.0,"02, 03, 81",325,286,247,206,165,124,2022,on
K2,400.0,"02, 03, 91",323,283,243,203,163,123,2022,on
S,200.0,"01, 02",–,142,123,102,81,60,2022,on
A,400.0,"01, 02, 03",337,297,257,217,177,137,2023,mj
B,400.0,"03, 66",331,292,253,212,171,130,2023,mj
C,400.0,"03, 67",331,292,253,212,171,130,2023,mj
H,200.0,"02, 81/91",–,144,125,104,83,62,2023,mj
K,400.0,"02, 03, 81/91",333,294,255,214,173,132,2023,mj
P1,75.0,50,–,54,45,36,27,18,2023,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2023,mj
S,200.0,"01, 02",–,147,127,107,87,67,2023,mj
A,400.0,"01, 02, 03",337,297,257,217,177,137,2023,on
B,400.0,"03, 66",337,297,257,217,177,137,2023,on
C,400.0,"03, 67",331,292,253,212,171,130,2023,on
D,400.0,"01, 02, 03",337,297,257,217,177,137,2023,on
EV,400.0,"03, 78",331,291,251,211,171,131,2023,on
H1,200.0,"02, 81",–,147,127,107,87,67,2023,on
H2,200.0,"02, 91",–,144,125,104,83,62,2023,on
S,200.0,"01, 02",–,147,127,107,87,67,2023,on
A,400.0,"01, 02, 03",337,297,257,217,177,137,2025,on
B,400.0,"03, 66",337,297,257,217,177,137,2025,on
C,400.0,"03, 67",337,297,257,217,177,137,2025,on
DV5,400.0,"03, 78",337,297,257,217,177,137,2025,on
"H1, H2",200.0,"02, 81/91",–,147,127,107,87,67,2025,on
"K1, K2",400.0,"02, 03, 81/91",337,297,257,217,177,137,2025,on
"K3, K4",200.0,"02, 81/91",–,147,127,107,87,67,2025,on
S,200.0,"01, 02",–,147,127,107,87,67,2025,on
A,400.0,"01, 02, 03",337,297,257,217,177,137,2025,fm
B,400.0,"03, 66",337,297,257,217,177,137,2025,fm
C,400.0,"03, 67",337,297,257,217,177,137,2025,fm
EV,400.0,"03, 78",337,297,257,217,177,137,2025,fm
S,200.0,"01, 02",–,147,127,107,87,67,2025,fm
A (A1),400.0,"01, 02, 03",337,297,257,217,177,137,2024,mj
A (A2),200.0,"01, 02",–,147,127,107,87,67,2024,mj
B,400.0,"03, 66",337,297,257,217,177,137,2024,mj
C,400.0,"03, 67",337,297,257,217,177,137,2024,mj
D (D1),400.0,"01, 02, 03",337,297,257,217,177,137,2024,mj
D (D2),400.0,"03, 66",337,297,257,217,177,137,2024,mj
D (D3),400.0,"03, 67",337,297,257,217,177,137,2024,mj
D (D4),200.0,"01, 02",–,147,127,107,87,67,2024,mj
K (K1),400.0,"02, 03, 81",337,297,257,217,177,137,2024,mj
K (K2),400.0,"02, 03, 91",337,297,257,217,177,137,2024,mj
K (K3),200.0,"02, 81",–,147,127,107,87,67,2024,mj
K (K4),200.0,"02, 91",–,147,127,107,87,67,2024,mj
S,200.0,"01, 02",–,147,127,107,87,67,2024,mj
A,400.0,"01, 02, 03",325,285,245,205,165,125,2023,fm
B,400.0,"03, 66",325,286,247,206,165,124,2023,fm
BJ,200.0,03,164,141,118,94,70,47,2023,fm
C,400.0,"03, 67",325,286,247,206,165,124,2023,fm
EV,400.0,"03, 78",318,278,238,198,158,118,2023,fm
S,200.0,"01, 02",–,141,121,101,81,61,2023,fm
A,,"01, 02, 03",312,272,232,192,152,112,2022,fm
B,,"03, 66",312,272,232,192,152,112,2022,fm
BJ,,03,158,135,112,88,64,41,2022,fm
C,,"03, 67",312,272,232,192,152,112,2022,fm
CN,,03,158,135,112,88,64,41,2022,fm
EV,,"03, 78",313,273,233,193,153,113,2022,fm
S,,"01, 02",–,134,114,94,74,54,2022,fm
A,400.0,"01, 02, 03",325,286,247,206,165,124,2022,mj
B,400.0,"03, 66",318,278,238,198,158,118,2022,mj
BJ,200.0,03,164,141,118,94,70,47,2022,mj
C,400.0,"03, 67",318,278,238,198,158,118,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
S,200.0,"01, 02",–,142,123,102,81,60,2022,mj
