option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,240.0,"12, 22, 32, 42",180,159,138,121,104,87,2024,fm
BY,240.0,"32, 42, 88",172,150,128,111,94,77,2024,fm
CY,240.0,"32, 42, 98",170,148,126,109,92,75,2024,fm
EV,240.0,"32, 42, 78",178,156,134,117,100,83,2024,fm
SY,120.0,"12, 22",–,85,76,67,58,50,2024,fm
CY,240.0,"32, 42, 98",155,137,119,102,85,69,2024,on
CZ,240.0,"33, 43, 99",159,142,125,106,88,70,2024,on
EV,240.0,"32, 42, 78",165,148,131,114,97,81,2024,on
P2,150.0,"50, 60",126,108,90,72,54,36,2024,on
SW,120.0,"11, 22",–,76,70,59,49,39,2024,on
SX,120.0,"11, 21",–,78,70,59,49,39,2024,on
SY,120.0,"12, 22",–,76,68,58,48,39,2024,on
SZ,120.0,"13, 23",–,76,68,58,48,39,2024,on
AY,240.0,"12, 22, 32, 42",166,147,128,111,94,78,2025,fm
BY,240.0,"32, 42, 88",162,144,126,109,92,76,2025,fm
CT,240.0,"32, 42, 97",165,147,129,110,91,73,2025,fm
CY,240.0,"32, 42, 98",163,145,127,109,91,73,2025,fm
EV,240.0,"32, 42, 78",173,154,135,118,101,84,2025,fm
SY,120.0,"12, 22",–,78,69,60,52,44,2025,fm
AX,240.0,"11, 21, 31, 41",167,148,129,110,92,74,2023,mj
AY,240.0,"12, 22, 32, 42",162,143,124,106,88,70,2023,mj
AZ,240.0,"13, 23, 33, 43",169,149,129,110,91,73,2023,mj
BX,240.0,"31, 41, 87",163,145,127,109,91,73,2023,mj
BY,240.0,"32, 42, 88",162,144,126,107,89,71,2023,mj
WB,240.0,"32, 42, 85",159,141,123,105,87,69,2023,mj
CX,240.0,"31, 41, 97",169,149,129,109,89,69,2023,mj
CY,240.0,"32, 42, 98",157,138,119,100,82,64,2023,mj
CZ,240.0,"33, 43, 99",171,151,131,110,89,68,2023,mj
P1,75.0,50,–,54,45,36,27,18,2023,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2023,mj
P3,150.0,"60, 80",130,114,98,81,64,48,2023,mj
SX,120.0,"11, 21",–,77,68,60,52,44,2023,mj
SY,120.0,"12, 22",–,76,66,57,48,40,2023,mj
SZ,120.0,"13, 23",–,78,68,59,51,43,2023,mj
AX,240.0,"11, 21, 31, 41",158,143,128,111,94,77,2024,mj
AY,240.0,"12, 22, 32, 42",155,139,123,106,89,72,2024,mj
AZ,240.0,"13, 23, 33, 43",160,144,128,111,94,77,2024,mj
BX,240.0,"31, 41, 87",160,143,126,109,92,75,2024,mj
BY,240.0,"32, 42, 88",158,140,122,104,87,70,2024,mj
BZ,240.0,"33, 43, 89",162,144,126,108,91,74,2024,mj
CX,240.0,"31, 41, 97",162,145,128,109,90,71,2024,mj
CY,240.0,"32, 42, 98",156,138,120,102,85,68,2024,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2024,mj
SX,120.0,"11, 21",–,77,70,62,54,46,2024,mj
SY,120.0,"12, 22",–,75,67,58,50,42,2024,mj
SZ,120.0,"13, 23",–,78,70,62,54,46,2024,mj
CZ,240.0,"33, 43, 99",161,142,123,104,86,68,2023,on
EV,240.0,"32, 42, 78",163,144,125,108,92,76,2023,on
P3,150.0,"60, 80",130,114,98,81,64,48,2023,on
SX,120.0,"11, 21",–,79,70,60,50,40,2023,on
SY,120.0,"12, 22",–,74,64,55,46,38,2023,on
SZ,120.0,"13, 23",–,79,70,59,49,39,2023,on
AY,,"12, 22, 32, 42",163,143,123,105,87,70,2022,fm
BYJ,,"32, 42",80,67,54,43,32,21,2022,fm
CY,,"32, 42, 98",164,143,122,103,85,67,2022,fm
EV,,"32, 42, 78",165,145,125,107,90,73,2022,fm
SY,,"12, 22",–,74,65,56,47,38,2022,fm
CZ,240.0,"33, 43, 99",155,136,117,98,79,61,2022,on
EV,240.0,"32, 42, 78",153,135,117,100,83,66,2022,on
P1,75.0,50,–,51,42,33,25,17,2022,on
SX,120.0,"11, 21",–,78,68,58,48,39,2022,on
SY,120.0,"12, 22",–,71,61,52,43,34,2022,on
SZ,120.0,"13, 23",–,80,70,59,48,38,2022,on
AX,240.0,"11, 21, 31, 41",154,138,122,104,86,69,2025,on
AY,240.0,"12, 22, 32, 42",150,137,124,106,89,72,2025,on
AZ,240.0,"13, 23, 33, 43",156,138,120,104,88,72,2025,on
BX,240.0,"31, 41, 87",150,134,118,102,87,72,2025,on
BY,240.0,"32, 42, 88",159,144,129,111,93,75,2025,on
BZ,240.0,"33, 43, 89",155,139,123,106,90,74,2025,on
CX,240.0,"31, 41, 97",155,139,123,105,87,69,2025,on
CY,240.0,"32, 42, 98",150,136,122,104,86,68,2025,on
CZ,240.0,"33, 43, 99",153,137,121,103,86,69,2025,on
EV,240.0,"32, 42, 78",153,138,123,106,89,73,2025,on
SX,120.0,"11, 21",–,77,69,59,49,39,2025,on
SY,120.0,"12, 22",–,77,70,61,52,43,2025,on
SZ,120.0,"13, 23",–,77,67,58,50,42,2025,on
WC,240.0,"32, 42, 96",148,136,124,105,86,68,2025,on
CY,240.0,"32, 42, 98",157,139,121,103,85,67,2025,mj
CZ,240.0,"33, 43, 99",153,137,121,103,85,67,2025,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2025,mj
SX,120.0,"11, 21",–,73,65,57,49,42,2025,mj
SY,120.0,"12, 22",–,84,75,65,55,46,2025,mj
SZ,120.0,"13, 23",–,78,70,61,52,44,2025,mj
WC,240.0,"32, 42, 96",155,139,123,104,85,67,2025,mj
CX,240.0,"31, 41, 97",166,146,126,105,85,65,2022,mj
CXN,120.0,"31, 41",78,66,54,42,30,19,2022,mj
CY,240.0,"32, 42, 98",162,142,122,103,84,65,2022,mj
CYN,120.0,"32, 42",78,66,54,42,30,19,2022,mj
CZ,240.0,"33, 43, 99",164,144,124,104,84,64,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
SX,120.0,"11, 21",–,74,66,58,50,43,2022,mj
SY,120.0,"12, 22",–,77,68,59,50,41,2022,mj
SZ,120.0,"13, 23",–,77,69,60,51,42,2022,mj
WA,240.0,"12, 21, 32, 42",161,142,123,105,87,69,2022,mj
WS,120.0,"12, 21",–,74,65,56,47,39,2022,mj
