option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200.0,"02, 03, 04, 11",152,136,120,105,90,75,2022,mj
AY,200.0,"02, 03, 04, 12",152,136,120,105,90,76,2022,mj
AZ,200.0,"02, 03, 04, 13",152,136,120,104,89,74,2022,mj
BX,200.0,"04, 87",150,134,118,103,88,73,2022,mj
BXJ,100.0,04,77,67,57,46,36,26,2022,mj
BY,200.0,"04, 88",151,135,119,104,89,75,2022,mj
BYJ,100.0,04,77,67,57,46,36,26,2022,mj
BZ,200.0,"04, 89",151,135,119,104,89,75,2022,mj
BZJ,100.0,04,77,67,57,46,36,26,2022,mj
CX,200.0,"04, 97",150,134,118,103,88,74,2022,mj
CXN,100.0,04,77,67,57,46,36,26,2022,mj
CY,200.0,"04, 98",150,134,118,103,88,74,2022,mj
CYN,100.0,04,77,67,57,46,36,26,2022,mj
HX1,100.0,"02, 11, 38",–,69,63,56,50,44,2022,mj
HX2,100.0,"02, 11, 39",–,69,63,56,50,44,2022,mj
KX1,200.0,"02, 04, 11, 38",152,136,120,105,90,75,2022,mj
KX2,200.0,"02, 04, 11, 39",152,136,120,105,90,75,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
SX,100.0,"02, 03, 11",–,69,63,56,50,44,2022,mj
SY,100.0,"02, 03, 12",–,69,63,57,51,45,2022,mj
SZ,100.0,"02, 03, 13",–,69,63,56,49,43,2022,mj
AY,,"02, 03, 04, 12",143,129,115,99,84,69,2022,fm
BYJ,,04,71,63,55,44,33,22,2022,fm
CY,,"04, 98",144,130,116,100,85,70,2022,fm
EV,,"04, 78",144,130,116,100,85,70,2022,fm
SY,,"02, 03, 12",–,66,60,54,48,42,2022,fm
AX,250.0,"02, 03, 04, 11",185,168,151,133,115,97,2023,mj
AY,250.0,"02, 03, 04, 12",184,167,150,132,114,96,2023,mj
BX,250.0,"04, 87",185,167,149,131,113,95,2023,mj
BY,250.0,"04, 88",185,167,149,131,113,96,2023,mj
BZ,250.0,"04, 89",185,167,149,130,112,94,2023,mj
CX,250.0,"04, 97",183,165,147,129,111,94,2023,mj
CY,250.0,"04, 98",184,166,148,130,112,95,2023,mj
HX (HX1),125.0,"02, 11, 38",–,88,81,73,65,57,2023,mj
HX (HX2),125.0,"02, 11, 39",–,88,81,73,65,57,2023,mj
KX (KX1),250.0,"02, 04, 11, 38",186,169,152,133,115,97,2023,mj
KX (KX2),250.0,"02, 04, 11, 39",186,169,152,133,115,97,2023,mj
P3,150.0,"60, 80",130,114,98,81,64,48,2023,mj
SX,125.0,"02, 03, 11",–,87,80,72,64,57,2023,mj
SY,125.0,"02, 03, 12",–,86,79,71,63,56,2023,mj
SZ,125.0,"02, 03, 13",–,86,79,71,63,56,2023,mj
AX,250.0,"02, 03, 04, 11",187,172,157,140,124,108,2024,on
AY,250.0,"02, 03, 04, 12",187,172,157,140,124,108,2024,on
AZ,250.0,"02, 03, 04, 13",187,172,157,140,124,108,2024,on
BX,250.0,"04, 87",186,172,158,142,126,111,2024,on
BY,250.0,"04, 88",188,174,160,144,129,114,2024,on
CX,250.0,"04, 97",186,171,156,139,122,106,2024,on
CY,250.0,"04, 98",185,170,155,138,121,105,2024,on
CZ,250.0,"04, 99",185,170,155,138,121,105,2024,on
EV,250.0,"04, 78",187,172,157,140,123,107,2024,on
HX,125.0,"02, 11, 38/39",–,88,80,72,65,58,2024,on
HY,125.0,"02, 12, 38/39",–,88,80,72,65,58,2024,on
HZ,125.0,"02, 13, 38/39",–,88,80,72,65,58,2024,on
KM1,250.0,"02, 04, 11, 38",187,172,157,140,124,108,2024,on
KM2,250.0,"02, 04, 11, 39",187,172,157,140,124,108,2024,on
KM5,250.0,"02, 04, 11, 37",186,171,156,139,123,107,2024,on
KV1,250.0,"02, 04, 12, 38",187,172,157,140,124,108,2024,on
KV2,250.0,"02, 04, 12, 39",187,172,157,140,124,108,2024,on
KV5,250.0,"02, 04, 12, 37",186,171,156,139,123,107,2024,on
KX,250.0,"02, 04, 11, 38/39",187,172,157,140,124,108,2024,on
SX,125.0,"02, 03, 11",–,88,80,72,65,58,2024,on
SY,125.0,"02, 03, 12",–,88,80,72,65,58,2024,on
SZ,125.0,"02, 03, 13",–,88,80,72,65,58,2024,on
AX,200.0,"02, 03, 04, 11",150,134,118,103,88,74,2022,on
AY,200.0,"02, 03, 04, 12",151,135,119,104,89,75,2022,on
AZ,200.0,"02, 03, 04, 13",151,135,119,104,89,75,2022,on
BX,200.0,"04, 87",152,136,120,105,90,75,2022,on
BY,200.0,"04, 88",152,136,120,105,90,76,2022,on
CX,200.0,"04, 97",150,134,118,103,88,74,2022,on
CY,200.0,"04, 98",150,134,118,103,88,74,2022,on
CYN,100.0,04,77,67,57,46,36,26,2022,on
CZ,200.0,"04, 99",150,134,118,103,88,74,2022,on
HX,100.0,"02, 11, 38/39",–,67,61,55,49,43,2022,on
HY,100.0,"02, 12, 38/39",–,68,62,56,50,44,2022,on
HZ,100.0,"02, 13, 38/39",–,68,62,56,50,44,2022,on
SX,100.0,"02, 03, 11",–,67,61,55,49,43,2022,on
SY,100.0,"02, 03, 12",–,68,62,56,50,44,2022,on
SZ,100.0,"02, 03, 13",–,68,62,56,50,44,2022,on
AX,250.0,"02, 03, 04, 11",189,175,161,146,131,116,2025,mj
AY,250.0,"02, 03, 04, 12",189,175,161,146,131,116,2025,mj
AZ,250.0,"02, 03, 04, 13",189,175,161,146,131,116,2025,mj
BX,250.0,"04, 87",186,172,158,142,126,111,2025,mj
BY,250.0,"04, 88",188,174,160,144,129,114,2025,mj
BZ,250.0,"04, 89",188,174,160,144,129,114,2025,mj
CX,250.0,"04, 97",187,172,157,140,124,108,2025,mj
CY,250.0,"04, 98",187,172,157,140,124,108,2025,mj
HX1,125.0,"02, 11, 38",–,90,83,77,71,65,2025,mj
HX2,125.0,"02, 11, 39",–,90,83,77,71,65,2025,mj
HZ1,125.0,"02, 13, 38",–,90,83,77,71,65,2025,mj
HZ2,125.0,"02, 13, 39",–,90,83,77,71,65,2025,mj
KX,250.0,"02, 04, 11, 38",188,174,160,145,130,115,2025,mj
