option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AX,200.0,"11, 21, 31",146,134,122,109,96,83,2022,on
AY,200.0,"12, 22, 32",139,128,117,103,90,77,2022,on
AZ,200.0,"13, 23, 33",147,133,119,105,92,79,2022,on
BQ,200.0,"31, 88",143,130,117,102,87,72,2022,on
BQJ,100.0,31,66,57,48,39,30,22,2022,on
BR,200.0,"32, 89",139,128,117,102,87,73,2022,on
BRJ,100.0,32,63,54,45,35,26,17,2022,on
BX,200.0,"31, 87",149,136,123,109,96,83,2022,on
BXJ,100.0,31,66,57,48,39,30,22,2022,on
BY,200.0,"32, 88",140,127,114,98,83,68,2022,on
BYJ,100.0,32,63,54,45,35,26,17,2022,on
BZ,200.0,"33, 89",142,131,120,105,91,77,2022,on
BZJ,100.0,33,66,57,48,39,30,22,2022,on
CX,200.0,"31, 97",144,132,120,107,95,83,2022,on
CXN,100.0,31,66,57,48,39,30,22,2022,on
CY,200.0,"32, 98",144,132,120,106,93,80,2022,on
CYN,100.0,32,63,54,45,35,26,17,2022,on
CZ,200.0,"33, 99",143,130,117,103,89,76,2022,on
CZN,100.0,33,66,57,48,39,30,22,2022,on
EV,200.0,"32, 78",142,129,116,102,89,76,2022,on
EVM,100.0,32,63,54,45,35,26,17,2022,on
P1,75.0,50,–,51,42,33,24,15,2022,on
SX,100.0,"11, 21",–,77,71,65,59,53,2022,on
SY,100.0,"12, 22",–,74,69,63,57,51,2022,on
SZ,100.0,"13, 23",–,76,68,61,55,49,2022,on
AY,200.0,"12, 22, 32, 42",168,153,138,121,105,89,2025,fm
BY,200.0,"32, 42, 88",161,146,131,114,97,81,2025,fm
CY,200.0,"32, 42, 98",162,148,134,117,101,85,2025,fm
EV,200.0,"32, 42, 78",166,151,136,120,104,88,2025,fm
SY,100.0,"12, 22",–,85,77,69,61,54,2025,fm
AY,200.0,"12, 22, 32, 42",164,149,134,118,102,86,2024,fm
BY,200.0,"32, 42, 88",157,144,131,115,99,84,2024,fm
CY,200.0,"32, 42, 98",155,142,129,113,98,83,2024,fm
EV,200.0,"32, 42, 78",160,146,132,116,101,86,2024,fm
SY,100.0,"12, 22",–,83,75,67,60,53,2024,fm
AY,,"12, 22, 32",148,134,120,105,90,75,2022,fm
BYJ,,32,69,59,49,37,26,15,2022,fm
CY,,"32, 98",150,137,124,109,94,79,2022,fm
EV,,"32, 78",150,136,122,106,91,76,2022,fm
SY,,"12, 22",–,75,68,62,56,50,2022,fm
AX,200.0,"11, 21, 31",149,136,123,109,95,82,2022,mj
AY,200.0,"12, 22, 32",146,132,118,101,84,68,2022,mj
AZ,200.0,"13, 23, 33",144,131,118,104,90,76,2022,mj
BX,200.0,"31, 87",142,129,116,102,88,75,2022,mj
BXJ,100.0,31,66,57,48,38,29,20,2022,mj
BY,200.0,"32, 88",145,131,117,101,85,70,2022,mj
BYJ,100.0,32,69,59,49,38,27,16,2022,mj
BZ,200.0,"33, 89",146,131,116,101,86,72,2022,mj
BZJ,100.0,33,68,57,46,37,28,20,2022,mj
CS,200.0,"31, 99",143,130,117,103,89,75,2022,mj
CSN,100.0,31,66,57,48,38,29,20,2022,mj
CT,200.0,"32, 97",147,134,121,107,93,79,2022,mj
CTN,100.0,32,69,59,49,38,27,16,2022,mj
CU,200.0,"33, 98",149,135,121,108,95,83,2022,mj
CUN,100.0,33,68,57,46,37,28,20,2022,mj
CY,200.0,"32, 98",150,137,124,109,94,80,2022,mj
CYN,100.0,32,69,59,49,38,27,16,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
SX,100.0,"11, 21",–,79,72,65,59,53,2022,mj
SY,100.0,"12, 22",–,73,66,58,50,42,2022,mj
SZ,100.0,"13, 23",–,74,69,61,54,47,2022,mj
AW,200.0,"12, 21, 32, 42",171,159,147,131,116,101,2023,on
AX,200.0,"11, 21, 31, 41",162,150,138,124,110,96,2023,on
AY,200.0,"12, 22, 32, 42",165,153,141,125,109,94,2023,on
AZ,200.0,"13, 23, 33, 43",161,148,135,121,107,94,2023,on
BQ,200.0,"31, 41, 88",159,147,135,121,107,93,2023,on
BR,200.0,"32, 42, 89",169,159,149,132,115,99,2023,on
BX,200.0,"31, 41, 87",160,147,134,120,106,92,2023,on
BY,200.0,"32, 42, 88",167,155,143,127,111,95,2023,on
BZ,200.0,"33, 43, 89",161,151,141,126,111,97,2023,on
CX,200.0,"31, 41, 97",158,146,134,121,108,95,2023,on
CY,200.0,"32, 42, 98",162,151,140,125,110,95,2023,on
CZ,200.0,"33, 43, 99",159,145,131,117,104,91,2023,on
EV,200.0,"32, 42, 78",170,157,144,128,112,97,2023,on
GP,200.0,"33, 43, 87",160,147,134,120,106,92,2023,on
SW,100.0,"12, 21",–,82,76,69,63,57,2023,on
SX,100.0,"11, 21",–,81,75,68,61,54,2023,on
SY,100.0,"12, 22",–,76,70,63,56,50,2023,on
SZ,100.0,"13, 23",–,79,72,65,58,52,2023,on
CT,200.0,"32, 42, 97",150,140,130,117,105,93,2024,mj
CU,200.0,"33, 43, 98",162,150,138,122,107,92,2024,mj
CX,200.0,"31, 41, 97",167,155,143,128,113,98,2024,mj
CY,200.0,"32, 42, 98",145,135,125,113,101,89,2024,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2024,mj
SX,100.0,"11, 21",–,78,72,66,60,54,2024,mj
SY,100.0,"12, 22",–,78,70,62,54,46,2024,mj
SZ,100.0,"13, 23",–,75,69,61,54,47,2024,mj
CT,200.0,"32, 42, 97",152,142,132,119,106,93,2025,mj
CU,200.0,"33, 43, 98",160,149,138,122,107,92,2025,mj
CX,200.0,"31, 41, 97",158,148,138,122,106,91,2025,mj
CY,200.0,"32, 42, 98",153,142,131,117,104,91,2025,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2025,mj
SX,100.0,"11, 21",–,75,68,61,54,47,2025,mj
SY,100.0,"12, 22",–,81,74,67,60,53,2025,mj
SZ,100.0,"13, 23",–,81,74,67,60,53,2025,mj
AX,200.0,"11, 21, 31, 41",164,153,142,125,108,91,2025,on
AY,200.0,"12, 22, 32, 42",156,146,136,122,108,95,2025,on
AZ,200.0,"13, 23, 33, 43",159,149,139,124,109,95,2025,on
BP,200.0,"33, 43, 87",155,144,133,118,103,88,2025,on
BQ,200.0,"31, 41, 88",162,150,138,121,104,87,2025,on
BR,200.0,"32, 42, 89",161,149,137,123,109,96,2025,on
BX,200.0,"31, 41, 87",156,144,132,115,98,81,2025,on
BY,200.0,"32, 42, 88",161,149,137,123,109,96,2025,on
BZ,200.0,"33, 43, 89",161,150,139,124,109,94,2025,on
CX,200.0,"31, 41, 97",160,149,138,120,103,86,2025,on
CY,200.0,"32, 42, 98",160,148,136,121,107,93,2025,on
CZ,200.0,"33, 43, 99",158,149,140,125,111,97,2025,on
EV,200.0,"32, 42, 78",166,153,140,125,111,97,2025,on
SX,100.0,"11, 21",–,84,78,71,64,57,2025,on
