option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
CY,200.0,"32, 42, 98",154,138,122,106,90,74,2025,fm
EV,200.0,"32, 42, 78",154,137,120,104,88,73,2025,fm
SY,100.0,"12, 22",–,60,52,44,37,30,2025,fm
AW,200.0,"12, 21, 32, 42",143,126,109,93,77,62,2022,on
AX,200.0,"11, 21, 31, 41",143,126,109,93,77,62,2022,on
AY,200.0,"12, 22, 32, 42",144,127,110,94,78,63,2022,on
AZ,200.0,"13, 23, 33, 43",144,127,110,94,78,63,2022,on
BP,200.0,"33, 43, 87",145,127,109,94,80,66,2022,on
BQ,200.0,"31, 41, 88",145,126,107,92,78,64,2022,on
BR,200.0,"32, 42, 89",145,126,107,92,78,64,2022,on
BX,200.0,"31, 41, 87",145,127,109,94,80,66,2022,on
BY,200.0,"32, 42, 88",145,126,107,92,78,64,2022,on
BZ,200.0,"33, 43, 89",145,126,107,92,78,64,2022,on
CX,200.0,"31, 41, 97",143,125,107,90,74,58,2022,on
CY,200.0,"32, 42, 98",143,125,107,90,74,58,2022,on
CZ,200.0,"33, 43, 99",143,125,107,90,74,58,2022,on
CZN,100.0,"33, 43",80,69,58,48,38,28,2022,on
SW,100.0,"12, 21",–,57,50,42,34,27,2022,on
SX,100.0,"11, 21",–,57,50,42,34,27,2022,on
SY,100.0,"12, 22",–,58,51,43,35,28,2022,on
SZ,100.0,"13, 23",–,58,51,43,35,28,2022,on
AX,200.0,"11, 21, 31, 41",151,134,117,102,87,73,2024,mj
AY,200.0,"12, 22, 32, 42",153,135,117,102,87,73,2024,mj
AZ,200.0,"13, 23, 33, 43",153,135,117,102,87,73,2024,mj
BX,200.0,"31, 41, 87",149,133,117,102,87,73,2024,mj
BY,200.0,"32, 42, 88",152,133,114,99,84,70,2024,mj
BZ,200.0,"33, 43, 89",152,133,114,99,84,70,2024,mj
CS,200.0,"31, 41, 99",150,134,118,102,86,71,2024,mj
CT,200.0,"32, 42, 97",150,134,118,102,86,71,2024,mj
CU,200.0,"33, 43, 98",150,134,118,102,86,71,2024,mj
CX,200.0,"31, 41, 97",150,134,118,102,86,71,2024,mj
CY,200.0,"32, 42, 98",150,134,118,102,86,71,2024,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2024,mj
SX,100.0,"11, 21",–,61,52,45,39,33,2024,mj
SY,100.0,"12, 22",–,62,52,45,39,33,2024,mj
SZ,100.0,"13, 23",–,62,52,45,39,33,2024,mj
AY,,"12, 22, 32, 42",136,120,104,89,74,59,2022,fm
BY,,"32, 42, 88",139,122,105,90,75,61,2022,fm
BYJ,,"32, 42",73,64,55,46,37,28,2022,fm
CY,,"32, 42, 98",136,120,104,88,72,57,2022,fm
CYN,,"32, 42",73,64,55,46,37,28,2022,fm
SY,,"12, 22",–,56,48,40,32,25,2022,fm
BZJ,100.0,"33, 43",80,70,60,50,40,31,2022,mj
CS,200.0,"31, 41, 99",143,126,109,92,76,60,2022,mj
CT,200.0,"32, 42, 97",143,126,109,92,76,60,2022,mj
CTN,100.0,"32, 42",80,70,60,50,40,31,2022,mj
CU,200.0,"33, 43, 98",143,126,109,92,76,60,2022,mj
CX,200.0,"31, 41, 97",143,126,109,92,76,60,2022,mj
CY,200.0,"32, 42, 98",143,126,109,92,76,60,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
SX,100.0,"11, 21",–,58,50,43,37,31,2022,mj
SY,100.0,"12, 22",–,57,48,41,35,29,2022,mj
SZ,100.0,"13, 23",–,57,48,41,35,29,2022,mj
AY,200.0,"12, 22, 32, 42",154,137,120,104,88,73,2024,fm
BY,200.0,"32, 42, 88",156,136,116,101,86,72,2024,fm
CY,200.0,"32, 42, 98",154,137,120,104,88,73,2024,fm
EV,200.0,"32, 42, 78",162,142,122,106,90,75,2024,fm
SY,100.0,"12, 22",–,61,53,45,38,31,2024,fm
BY,200.0,"32, 42, 88",152,135,118,104,90,76,2024,on
BZ,200.0,"33, 43, 89",152,135,118,104,90,76,2024,on
CX,200.0,"31, 41, 97",149,134,119,104,89,74,2024,on
CY,200.0,"32, 42, 98",149,134,119,104,89,74,2024,on
CZ,200.0,"33, 43, 99",149,134,119,104,89,74,2024,on
DV,200.0,"32, 42, 78",149,134,119,104,89,74,2024,on
P2,150.0,"50, 60",126,108,90,72,54,36,2024,on
SX,100.0,"11, 21",–,62,55,47,39,32,2024,on
SY,100.0,"12, 22",–,62,55,47,39,32,2024,on
SZ,100.0,"13, 23",–,62,55,47,39,32,2024,on
AO,200.0,"12, 22, 44",147,128,109,94,79,65,2023,mj
AX,200.0,"11, 21, 31, 41",149,133,117,102,87,73,2023,mj
AY,200.0,"12, 22, 32, 42",152,133,114,99,84,70,2023,mj
AZ,200.0,"13, 23, 33, 43",152,133,114,99,84,70,2023,mj
BO,200.0,"44, 88",142,125,108,93,78,64,2023,mj
BX,200.0,"31, 41, 87",147,131,115,100,85,71,2023,mj
BY,200.0,"32, 42, 88",147,130,113,98,83,69,2023,mj
BZ,200.0,"33, 43, 89",147,130,113,98,83,69,2023,mj
CO,200.0,"44, 98",141,126,111,95,79,63,2023,mj
CS,200.0,"31, 41, 99",146,131,116,100,84,68,2023,mj
CT,200.0,"32, 42, 97",145,130,115,99,83,67,2023,mj
CU,200.0,"33, 43, 98",146,131,116,100,84,68,2023,mj
CX,200.0,"31, 41, 97",145,130,115,99,83,67,2023,mj
CY,200.0,"32, 42, 98",146,131,116,100,84,68,2023,mj
P1,75.0,50,–,54,45,36,27,18,2023,mj
P2,150.0,"50, 60",126,108,90,72,54,36,2023,mj
P3,150.0,"60, 80",130,114,98,81,64,48,2023,mj
SX,100.0,"11, 21",–,60,52,45,39,33,2023,mj
SY,100.0,"12, 22",–,60,49,42,36,30,2023,mj
SZ,100.0,"13, 23",–,60,49,42,36,30,2023,mj
BZ,200.0,"33, 43, 89",151,133,115,101,87,74,2023,on
CX,200.0,"31, 41, 97",144,130,116,101,86,71,2023,on
CY,200.0,"32, 42, 98",145,131,117,102,87,72,2023,on
CZ,200.0,"33, 43, 99",145,131,117,102,87,72,2023,on
DV,200.0,"32, 42, 78",157,139,121,106,91,77,2023,on
EX,200.0,"31, 41, 78",157,139,121,106,91,77,2023,on
P1,75.0,50,–,54,45,36,27,18,2023,on
SW,100.0,"12, 21",–,61,53,45,38,31,2023,on
SX,100.0,"11, 21",–,61,53,45,38,31,2023,on
SY,100.0,"12, 22",–,61,53,45,38,31,2023,on
SZ,100.0,"13, 23",–,61,53,45,38,31,2023,on
WG,200.0,"32, 42, 96",144,130,116,101,86,71,2023,on
