option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"12, 22, 32, 42",174,154,134,117,100,84,2022,fm,
BYJ,"32, 42",103,86,69,56,43,30,2022,fm,
CY,"32, 42, 98",175,155,135,115,95,76,2022,fm,
EV,"32, 42, 78",173,154,135,118,101,84,2022,fm,
SY,"12, 22",–,68,59,52,46,40,2022,fm,
AY,"12, 22, 32, 42",186,166,146,128,111,94,2024,fm,240.0
BY,"32, 42, 88",186,164,142,122,102,83,2024,fm,240.0
CT,"32, 42, 97",187,168,149,128,107,87,2024,fm,240.0
CY,"32, 42, 98",186,168,150,130,111,92,2024,fm,240.0
EV,"32, 42, 78",181,162,143,125,108,91,2024,fm,240.0
SY,"12, 22",–,74,64,57,50,43,2024,fm,120.0
AY,"12, 22, 32, 42",183,167,151,132,114,96,2025,fm,240.0
BY,"32, 42, 88",186,166,146,125,105,85,2025,fm,240.0
CY,"32, 42, 98",187,169,151,131,111,91,2025,fm,240.0
EV,"32, 42, 78",184,165,146,128,111,94,2025,fm,240.0
SY,"12, 22",–,76,69,61,53,45,2025,fm,120.0
CT (CTN),"32, 42",101,87,73,60,48,36,2022,mj,120.0
CU,"33, 43, 98",171,155,139,119,100,81,2022,mj,240.0
CX,"31, 41, 97",173,156,139,119,99,79,2022,mj,240.0
CY,"32, 42, 98",173,156,139,119,100,81,2022,mj,240.0
CY (CYN),"32, 42",101,87,73,60,48,36,2022,mj,120.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
SX,"11, 21",–,73,65,56,48,40,2022,mj,120.0
SY,"12, 22",–,69,59,51,43,35,2022,mj,120.0
SZ,"13, 23",–,69,59,51,43,35,2022,mj,120.0
AX,"11, 21, 31, 41",175,163,151,132,113,94,2023,mj,240.0
AY,"12, 22, 32, 42",175,159,143,124,105,87,2023,mj,240.0
AZ,"13, 23, 33, 43",172,159,146,127,108,89,2023,mj,240.0
BX,"31, 41, 87",172,160,148,130,112,95,2023,mj,240.0
BY,"32, 42, 88",170,156,142,124,107,90,2023,mj,240.0
BZ,"33, 43, 89",170,156,142,124,107,90,2023,mj,240.0
CS,"31, 41, 99",175,163,151,132,113,94,2023,mj,240.0
CT,"32, 42, 97",175,163,151,132,113,94,2023,mj,240.0
CU,"33, 43, 98",171,159,147,128,110,92,2023,mj,240.0
CY,"32, 42, 98",171,159,147,128,110,92,2023,mj,240.0
