option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
A,400,"01, 02, 03",309,268,227,184,141,99,2022,mj
B,400,"03, 66",302,261,220,177,134,92,2022,mj
B (BJ),200,03,153,130,107,82,57,32,2022,mj
C,400,"03, 67",302,261,220,177,134,92,2022,mj
C (CN),200,03,153,130,107,82,57,32,2022,mj
P1,75,50,–,51,42,33,24,15,2022,mj
P2,150,"50, 60",120,102,84,66,48,30,2022,mj
P3,150,"60, 80",127,111,95,78,61,45,2022,mj
S,200,"01, 02",–,134,113,91,70,49,2022,mj
A,400,"01, 02, 03",320,280,240,197,154,112,2023,mj
B,400,"03, 66",315,274,233,190,147,105,2023,mj
C,400,"03, 67",315,274,233,190,147,105,2023,mj
S,200,"01, 02",–,140,120,98,77,56,2023,mj
A,400,"01, 02, 03",320,280,240,197,154,112,2024,mj
B,400,"03, 66",320,280,240,197,154,112,2024,mj
C,400,"03, 67",320,280,240,197,154,112,2024,mj
K,400,"02, 03, 81",320,280,240,197,154,112,2024,mj
S,200,"01, 02",–,140,120,98,77,56,2024,mj
A (A1),400,"01, 02, 03",320,280,240,197,154,112,2025,mj
A (A2),200,"01, 02",–,140,120,98,77,56,2025,mj
B,400,"03, 66",320,280,240,197,154,112,2025,mj
C,400,"03, 67",320,280,240,197,154,112,2025,mj
D (D1),400,"01, 02, 03",320,280,240,197,154,112,2025,mj
D (D2),400,"03, 66",320,280,240,197,154,112,2025,mj
D (D3),400,"03, 67",320,280,240,197,154,112,2025,mj
D (D4),200,"01, 02",–,140,120,98,77,56,2025,mj
K (K1),400,"02, 03, 81",320,280,240,197,154,112,2025,mj
K (K2),400,"02, 03, 91",320,280,240,197,154,112,2025,mj
K (K3),200,"02, 81",–,140,120,98,77,56,2025,mj
K (K4),200,"02, 91",–,140,120,98,77,56,2025,mj
S,200,"01, 02",–,140,120,98,77,56,2025,mj
A,400,"01, 02, 03",309,268,227,184,141,99,2022,on
B,400,"03, 66",309,268,227,184,141,99,2022,on
C,400,"03, 67",302,261,220,177,134,92,2022,on
CN,200,03,153,130,107,82,57,32,2022,on
H1,200,"02, 81",–,134,113,91,70,49,2022,on
H2,200,"02, 91",–,131,109,87,66,45,2022,on
S,200,"01, 02",–,134,113,91,70,49,2022,on
A,400,"01, 02, 03",320,280,240,197,154,112,2023,on
B,400,"03, 66",320,280,240,197,154,112,2023,on
C,400,"03, 67",315,274,233,190,147,105,2023,on
H (H1),200,"02, 81",–,140,120,98,77,56,2023,on
H (H2),200,"02, 91",–,137,117,95,74,53,2023,on
K (K1),400,"02, 03, 81",320,280,240,197,154,112,2023,on
K (K2),400,"02, 03, 91",317,277,237,194,151,109,2023,on
S,200,"01, 02",–,140,120,98,77,56,2023,on
A,400,"01, 02, 03",320,280,240,197,154,112,2024,on
B,400,"03, 66",320,280,240,197,154,112,2024,on
C,400,"03, 67",320,280,240,197,154,112,2024,on
H (H1),200,"02, 81",–,140,120,98,77,56,2024,on
H (H2),200,"02, 91",–,140,120,98,77,56,2024,on
K,400,"02, 03, 91",320,280,240,197,154,112,2024,on
S,200,"01, 02",–,140,120,98,77,56,2024,on
A,400,"01, 02, 03",320,280,240,197,154,112,2025,on
B,400,"03, 66",320,280,240,197,154,112,2025,on
C,400,"03, 67",320,280,240,197,154,112,2025,on
H (H1),200,"02, 81",–,140,120,98,77,56,2025,on
H (H2),200,"02, 91",–,140,120,98,77,56,2025,on
K,400,"02, 03, 91",320,280,240,197,154,112,2025,on
S,200,"01, 02",–,140,120,98,77,56,2025,on
