option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
AY,250.0,"12, 22, 32, 42",191,169,147,123,99,76,2024,fm
BY,250.0,"32, 42, 88",197,173,149,123,97,71,2024,fm
CY,250.0,"32, 42, 98",193,168,143,119,95,71,2024,fm
DV,250.0,"12, 22, 32, 42",191,169,147,123,99,76,2024,fm
EV,250.0,"32, 42, 78",173,154,135,111,88,65,2024,fm
SY,125.0,"12, 22",–,86,73,62,51,40,2024,fm
AY,,"12, 22, 32",228,199,170,138,107,76,2022,fm
BY,,"32, 88",239,208,177,144,111,78,2022,fm
BYJ,,32,111,96,81,62,43,25,2022,fm
CY,,"32, 98",222,195,168,139,110,81,2022,fm
CYN,,32,111,96,81,62,43,25,2022,fm
EV,,"32, 78",229,200,171,139,108,77,2022,fm
SY,,"12, 22",–,101,85,69,54,39,2022,fm
AX,340.0,"11, 21, 31",245,213,181,148,116,84,2022,mj
AY,340.0,"12, 22, 32",228,197,166,134,102,71,2022,mj
AZ,340.0,"13, 23, 33",248,219,190,154,118,82,2022,mj
BX,340.0,"31, 87",235,205,175,143,111,79,2022,mj
BY,340.0,"32, 88",233,203,173,140,107,74,2022,mj
BYJ,170.0,32,108,92,76,57,39,21,2022,mj
BZ,340.0,"33, 89",243,214,185,151,117,83,2022,mj
BZJ,170.0,33,124,104,84,64,44,24,2022,mj
CS,340.0,"31, 99",237,206,175,142,109,76,2022,mj
CT,340.0,"32, 97",216,190,164,133,103,73,2022,mj
CU,340.0,"33, 98",231,202,173,142,111,81,2022,mj
CUN,170.0,33,124,104,84,64,44,24,2022,mj
CY,340.0,"32, 98",216,190,164,135,106,77,2022,mj
CYN,170.0,32,108,92,76,57,39,21,2022,mj
P1,75.0,50,–,51,42,33,24,15,2022,mj
P2,150.0,"50, 60",120,102,84,66,48,30,2022,mj
P3,150.0,"60, 80",127,111,95,78,61,45,2022,mj
SX,170.0,"11, 21",–,107,91,76,61,47,2022,mj
SY,170.0,"12, 22",–,104,86,70,54,38,2022,mj
