option,maximum mark after weighting,combination of components,a,b,c,d,e,year,month
X,100.0,"11, 21",69,62,56,50,44,2025,on
Y,100.0,"12, 22",70,63,57,51,45,2025,on
Z,100.0,"13, 23",67,60,54,48,42,2025,on
X,100.0,"11, 21",67,60,54,48,42,2024,on
Y,100.0,"12, 22",68,61,55,49,43,2024,on
Z,100.0,"13, 23",70,63,57,51,45,2024,on
X,100.0,"11, 21",64,57,50,44,38,2024,mj
Y,100.0,"12, 22",67,60,54,48,42,2024,mj
Z,100.0,"13, 23",62,55,49,43,38,2024,mj
P1,75.0,50,51,42,33,24,15,2022,mj
X,100.0,"11, 21",61,54,47,40,33,2022,mj
Y,100.0,"12, 22",65,58,51,45,39,2022,mj
Z,100.0,"13, 23",61,54,47,40,33,2022,mj
P1,75.0,50,54,45,36,27,18,2023,on
X,100.0,"11, 21",64,56,49,43,37,2023,on
Y,100.0,"12, 22",70,61,55,49,43,2023,on
Z,100.0,"13, 23",70,61,55,49,43,2023,on
Y,100.0,"12, 22",67,59,51,44,37,2023,fm
Y,,"12, 22",67,60,53,46,39,2022,fm
X,100.0,"11, 21",66,58,51,44,38,2025,mj
Y,100.0,"12, 22",67,60,54,48,43,2025,mj
Z,100.0,"13, 23",67,60,53,46,40,2025,mj
Y,100.0,"12, 22",72,64,56,49,42,2025,fm
P1,75.0,50,54,45,36,27,18,2023,mj
X,100.0,"11, 21",65,58,52,46,40,2023,mj
Y,100.0,"12, 22",69,62,56,50,44,2023,mj
Z,100.0,"13, 23",65,58,52,46,40,2023,mj
Y,100.0,"12, 22",72,64,56,48,40,2024,fm
X,100.0,"11, 21",60,53,47,41,35,2022,on
Y,100.0,"12, 22",60,53,47,41,35,2022,on
Z,100.0,"13, 23",61,54,48,42,36,2022,on
