option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
P1,75,50,–,51,42,33,24,15,2022,mj
SX,100,"11, 21",–,51,42,35,28,21,2022,mj
SY,100,"12, 22",–,52,43,36,29,22,2022,mj
SZ,100,"13, 23",–,52,43,36,29,22,2022,mj
AX,200,"11, 21, 31, 41",134,116,98,83,68,54,2023,mj
AY,200,"12, 22, 32, 42",133,116,99,83,68,53,2023,mj
AZ,200,"13, 23, 33, 43",133,116,99,83,68,53,2023,mj
BX,200,"31, 41, 87",131,112,93,79,65,52,2023,mj
BY,200,"32, 42, 88",130,112,94,79,65,51,2023,mj
CX,200,"31, 41, 97",136,118,100,85,71,57,2023,mj
CY,200,"32, 42, 98",131,114,97,82,67,52,2023,mj
P3,150,"60, 80",130,114,98,81,64,48,2023,mj
SX,100,"11, 21",–,55,47,39,31,23,2023,mj
SY,100,"12, 22",–,56,48,40,32,24,2023,mj
SZ,100,"13, 23",–,56,48,40,32,24,2023,mj
AX,200,"11, 21, 31, 41",141,122,103,86,69,53,2024,mj
AY,200,"12, 22, 32, 42",139,121,103,86,70,54,2024,mj
AZ,200,"13, 23, 33, 43",139,121,103,86,70,54,2024,mj
BX,200,"31, 41, 87",135,117,99,82,66,50,2024,mj
BY,200,"32, 42, 88",133,116,99,83,67,51,2024,mj
CX,200,"31, 41, 97",138,120,102,85,69,53,2024,mj
CY,200,"32, 42, 98",137,120,103,86,70,54,2024,mj
CZ,200,"33, 43, 99",137,120,103,86,70,54,2024,mj
SX,100,"11, 21",–,60,51,42,34,26,2024,mj
SY,100,"12, 22",–,61,52,43,35,27,2024,mj
SZ,100,"13, 23",–,61,52,43,35,27,2024,mj
AX,200,"11, 21, 31, 41",144,124,104,87,70,54,2025,mj
AY,200,"12, 22, 32, 42",142,123,104,87,71,55,2025,mj
AZ,200,"13, 23, 33, 43",142,123,104,87,71,55,2025,mj
BX,200,"31, 41, 87",141,122,103,86,69,53,2025,mj
BY,200,"32, 42, 88",139,121,103,86,70,54,2025,mj
CX,200,"31, 41, 97",139,121,103,86,70,54,2025,mj
CY,200,"32, 42, 98",138,121,104,87,70,54,2025,mj
SX,100,"11, 21",–,62,52,43,35,27,2025,mj
SY,100,"12, 22",–,63,53,44,36,28,2025,mj
SZ,100,"13, 23",–,63,53,44,36,28,2025,mj
AX,200,"11, 21, 31, 41",133,114,95,79,64,49,2022,on
AY,200,"12, 22, 32, 42",130,111,92,76,61,46,2022,on
AZ,200,"13, 23, 33, 43",134,115,96,80,65,50,2022,on
BX,200,"31, 41, 87",128,108,88,73,58,44,2022,on
BXJ,100,"31, 41",69,56,43,34,25,16,2022,on
CY,200,"32, 42, 98",126,108,90,75,60,46,2022,on
CYN,100,"32, 42",69,56,43,34,25,16,2022,on
CZ,200,"33, 43, 99",127,109,91,76,61,47,2022,on
CZN,100,"33, 43",69,56,43,34,25,16,2022,on
SX,100,"11, 21",–,57,49,41,33,26,2022,on
SY,100,"12, 22",–,54,46,38,30,23,2022,on
SZ,100,"13, 23",–,58,50,42,34,27,2022,on
AX,200,"11, 21, 31, 41",140,121,102,86,71,56,2023,on
AY,200,"12, 22, 32, 42",142,123,104,88,72,57,2023,on
AZ,200,"13, 23, 33, 43",142,123,104,88,72,57,2023,on
BX,200,"31, 41, 87",137,118,99,83,68,53,2023,on
BY,200,"32, 42, 88",138,119,100,84,69,54,2023,on
CY,200,"32, 42, 98",136,117,98,83,68,53,2023,on
CZ,200,"33, 43, 99",140,121,102,87,72,57,2023,on
SX,100,"11, 21",–,58,50,42,34,26,2023,on
SY,100,"12, 22",–,60,52,43,35,27,2023,on
SZ,100,"13, 23",–,60,52,43,35,27,2023,on
AX,200,"11, 21, 31, 41",135,118,101,85,69,54,2024,on
AY,200,"12, 22, 32, 42",137,120,103,86,70,54,2024,on
AZ,200,"13, 23, 33, 43",137,120,103,86,70,54,2024,on
BX,200,"31, 41, 87",137,119,101,85,69,53,2024,on
CY,200,"32, 42, 98",136,119,102,86,70,54,2024,on
CZ,200,"33, 43, 99",136,119,102,86,70,54,2024,on
SX,100,"11, 21",–,59,51,43,35,27,2024,on
SY,100,"12, 22",–,61,53,44,35,27,2024,on
SZ,100,"13, 23",–,61,53,44,35,27,2024,on
AX,200,"11, 21, 31, 41",140,122,104,88,72,57,2025,on
AY,200,"12, 22, 32, 42",140,122,104,88,72,57,2025,on
AZ,200,"13, 23, 33, 43",140,122,104,88,72,57,2025,on
BX,200,"31, 41, 87",145,125,105,88,71,55,2025,on
BY,200,"32, 42, 88",146,126,106,89,72,56,2025,on
CY,200,"32, 42, 98",142,124,106,89,72,55,2025,on
SX,100,"11, 21",–,59,51,43,36,29,2025,on
SY,100,"12, 22",–,59,51,43,36,29,2025,on
SZ,100,"13, 23",–,59,51,43,36,29,2025,on
