option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
A,"01, 02, 03",312,272,232,192,152,112,2022,fm,
B,"03, 66",312,272,232,192,152,112,2022,fm,
BJ,03,158,135,112,88,64,41,2022,fm,
C,"03, 67",312,272,232,192,152,112,2022,fm,
CN,03,158,135,112,88,64,41,2022,fm,
EV,"03, 78",313,273,233,193,153,113,2022,fm,
S,"01, 02",–,134,114,94,74,54,2022,fm,
A,"01, 02, 03",325,285,245,205,165,125,2023,fm,400.0
B,"03, 66",325,286,247,206,165,124,2023,fm,400.0
BJ,03,164,141,118,94,70,47,2023,fm,200.0
C,"03, 67",325,286,247,206,165,124,2023,fm,400.0
EV,"03, 78",318,278,238,198,158,118,2023,fm,400.0
S,"01, 02",–,141,121,101,81,61,2023,fm,200.0
A,"01, 02, 03",337,297,257,217,177,137,2024,fm,400.0
B,"03, 66",337,297,257,217,177,137,2024,fm,400.0
C,"03, 67",337,297,257,217,177,137,2024,fm,400.0
EV,"03, 78",331,291,251,211,171,131,2024,fm,400.0
S,"01, 02",–,147,127,107,87,67,2024,fm,200.0
A,"01, 02, 03",337,297,257,217,177,137,2025,fm,400.0
B,"03, 66",337,297,257,217,177,137,2025,fm,400.0
C,"03, 67",337,297,257,217,177,137,2025,fm,400.0
EV,"03, 78",337,297,257,217,177,137,2025,fm,400.0
S,"01, 02",–,147,127,107,87,67,2025,fm,200.0
A,"01, 02, 03",325,286,247,206,165,124,2022,mj,400.0
B,"03, 66",318,278,238,198,158,118,2022,mj,400.0
BJ,03,164,141,118,94,70,47,2022,mj,200.0
C,"03, 67",318,278,238,198,158,118,2022,mj,400.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
S,"01, 02",–,142,123,102,81,60,2022,mj,200.0
A,"01, 02, 03",337,297,257,217,177,137,2023,mj,400.0
B,"03, 66",331,292,253,212,171,130,2023,mj,400.0
C,"03, 67",331,292,253,212,171,130,2023,mj,400.0
H,"02, 81/91",–,144,125,104,83,62,2023,mj,200.0
K,"02, 03, 81/91",333,294,255,214,173,132,2023,mj,400.0
P1,50,–,54,45,36,27,18,2023,mj,75.0
P2,"50, 60",126,108,90,72,54,36,2023,mj,150.0
S,"01, 02",–,147,127,107,87,67,2023,mj,200.0
A (A1),"01, 02, 03",337,297,257,217,177,137,2024,mj,400.0
A (A2),"01, 02",–,147,127,107,87,67,2024,mj,200.0
