option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"12, 22, 32",228,199,170,138,107,76,2022,fm,
BY,"32, 88",239,208,177,144,111,78,2022,fm,
BYJ,32,111,96,81,62,43,25,2022,fm,
CY,"32, 98",222,195,168,139,110,81,2022,fm,
CYN,32,111,96,81,62,43,25,2022,fm,
EV,"32, 78",229,200,171,139,108,77,2022,fm,
SY,"12, 22",–,101,85,69,54,39,2022,fm,
AY,"12, 22, 32, 42",191,169,147,123,99,76,2024,fm,250.0
BY,"32, 42, 88",197,173,149,123,97,71,2024,fm,250.0
CY,"32, 42, 98",193,168,143,119,95,71,2024,fm,250.0
DV,"12, 22, 32, 42",191,169,147,123,99,76,2024,fm,250.0
EV,"32, 42, 78",173,154,135,111,88,65,2024,fm,250.0
SY,"12, 22",–,86,73,62,51,40,2024,fm,125.0
AY,"12, 22, 32, 42",194,169,144,119,95,71,2025,fm,250.0
BY,"32, 42, 88",196,170,144,117,90,64,2025,fm,250.0
CY,"32, 42, 98",192,166,140,115,90,65,2025,fm,250.0
EV,"32, 42, 78",192,169,146,121,97,73,2025,fm,250.0
SY,"12, 22",–,86,71,60,49,38,2025,fm,125.0
AX,"11, 21, 31",245,213,181,148,116,84,2022,mj,340.0
AY,"12, 22, 32",228,197,166,134,102,71,2022,mj,340.0
AZ,"13, 23, 33",248,219,190,154,118,82,2022,mj,340.0
BX,"31, 87",235,205,175,143,111,79,2022,mj,340.0
BY,"32, 88",233,203,173,140,107,74,2022,mj,340.0
BYJ,32,108,92,76,57,39,21,2022,mj,170.0
BZ,"33, 89",243,214,185,151,117,83,2022,mj,340.0
BZJ,33,124,104,84,64,44,24,2022,mj,170.0
CS,"31, 99",237,206,175,142,109,76,2022,mj,340.0
CT,"32, 97",216,190,164,133,103,73,2022,mj,340.0
CU,"33, 98",231,202,173,142,111,81,2022,mj,340.0
CUN,33,124,104,84,64,44,24,2022,mj,170.0
CY,"32, 98",216,190,164,135,106,77,2022,mj,340.0
CYN,32,108,92,76,57,39,21,2022,mj,170.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
SX,"11, 21",–,107,91,76,61,47,2022,mj,170.0
SY,"12, 22",–,104,86,70,54,38,2022,mj,170.0
SZ,"13, 23",–,114,101,82,63,45,2022,mj,170.0
