option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
BYJ,150,"32, 42",129,108,87,65,44,23,2022,mj
BZ,300,"33, 43, 89",227,197,167,135,103,71,2022,mj
BZJ,150,"33, 43",129,108,87,65,44,23,2022,mj
CS,300,"31, 41, 99",233,201,169,135,101,68,2022,mj
CT,300,"32, 42, 97",233,201,169,135,101,68,2022,mj
CTN,150,"32, 42",129,108,87,65,44,23,2022,mj
CU,300,"33, 43, 98",233,201,169,135,101,68,2022,mj
CUN,150,"33, 43",129,108,87,65,44,23,2022,mj
CY,300,"32, 42, 98",233,201,169,135,101,68,2022,mj
CYN,150,"32, 42",129,108,87,65,44,23,2022,mj
P1,75,50,–,51,42,33,24,15,2022,mj
P2,150,"50, 60",120,102,84,66,48,30,2022,mj
P3,150,"60, 80",127,111,95,78,61,45,2022,mj
SX,150,"11, 21",–,88,71,59,47,35,2022,mj
SY,150,"12, 22",–,84,68,57,46,35,2022,mj
SZ,150,"13, 23",–,88,72,59,47,35,2022,mj
AX,300,"11, 21, 31, 41",231,201,171,139,107,75,2023,mj
AY,300,"12, 22, 32, 42",231,201,171,139,107,75,2023,mj
AZ,300,"13, 23, 33, 43",231,201,171,139,107,75,2023,mj
BX,300,"31, 41, 87",236,204,172,140,108,76,2023,mj
BY,300,"32, 42, 88",231,200,169,138,107,76,2023,mj
BZ,300,"33, 43, 89",235,204,173,140,108,76,2023,mj
CT,300,"32, 42, 97",229,200,171,138,106,74,2023,mj
CU,300,"33, 43, 98",233,205,177,145,113,81,2023,mj
CY,300,"32, 42, 98",233,205,177,145,113,81,2023,mj
P1,75,50,–,58,46,39,32,26,2023,mj
P3,150,"60, 80",130,114,98,81,64,48,2023,mj
SX,150,"11, 21",–,85,70,58,46,34,2023,mj
SY,150,"12, 22",–,85,70,58,46,34,2023,mj
SZ,150,"13, 23",–,85,70,58,46,34,2023,mj
WF,300,"33, 43, 96",230,201,172,140,108,77,2023,mj
AX,300,"11, 21, 31, 41",222,191,160,130,100,71,2024,mj
AY,300,"12, 22, 32, 42",222,191,160,130,100,71,2024,mj
AZ,300,"13, 23, 33, 43",222,191,160,130,100,71,2024,mj
BX,300,"31, 41, 87",214,182,150,121,92,64,2024,mj
BY,300,"32, 42, 88",214,182,150,121,92,64,2024,mj
BZ,300,"33, 43, 89",214,182,150,121,92,64,2024,mj
CT,300,"32, 42, 97",218,187,156,125,95,65,2024,mj
CU,300,"33, 43, 98",222,190,158,127,96,66,2024,mj
CY,300,"32, 42, 98",222,190,158,127,96,66,2024,mj
SX,150,"11, 21",–,94,80,67,54,41,2024,mj
SY,150,"12, 22",–,94,80,67,54,41,2024,mj
SZ,150,"13, 23",–,94,80,67,54,41,2024,mj
CT,300,"32, 42, 97",223,189,155,124,93,63,2025,mj
CU,300,"33, 43, 98",217,182,147,118,89,60,2025,mj
