option,combination of components,a*,a,b,c,d,e,year,month,maximum mark after weighting
AY,"02, 04, 12, 32",249,221,193,166,139,112,2022,fm,
BYJ,"04, 32",126,110,94,78,62,47,2022,fm,
CY,"04, 32, 98",249,220,191,165,139,113,2022,fm,
EV,"04, 32, 78",249,223,197,171,145,119,2022,fm,
SY,"02, 12",–,97,85,73,61,50,2022,fm,
AY,"02, 04, 12, 32",262,241,220,191,163,135,2024,fm,360.0
BY,"04, 32, 88",257,233,209,180,151,123,2024,fm,360.0
CY,"04, 32, 98",263,239,215,184,153,123,2024,fm,360.0
EV,"04, 32, 78",258,238,218,189,161,133,2024,fm,360.0
SY,"02, 12",–,104,94,83,73,63,2024,fm,180.0
AY,"02, 04, 12, 32",256,235,214,186,158,131,2025,fm,360.0
BY,"04, 32, 88",248,226,204,177,151,125,2025,fm,360.0
CY,"04, 32, 98",262,237,212,182,153,124,2025,fm,360.0
EV,"04, 32, 78",251,230,209,181,153,126,2025,fm,360.0
SY,"02, 12",–,109,99,88,78,68,2025,fm,180.0
AX,"02, 04, 11, 31",249,211,173,143,113,84,2022,mj,360.0
AY,"02, 04, 12, 32",254,215,176,145,114,83,2022,mj,360.0
AZ,"02, 04, 13, 33",249,211,173,143,113,84,2022,mj,360.0
BX,"04, 31, 87",240,208,176,147,119,91,2022,mj,360.0
BY,"04, 32, 88",250,213,176,147,118,90,2022,mj,360.0
BYJ,"04, 32",133,110,87,69,51,34,2022,mj,180.0
BZ,"04, 33, 89",238,207,176,147,119,91,2022,mj,360.0
BZJ,"04, 33",129,109,89,71,53,36,2022,mj,180.0
CY,"04, 32, 98",259,223,187,158,130,102,2022,mj,360.0
CYN,"04, 32",133,110,87,69,51,34,2022,mj,180.0
CZ,"04, 33, 99",248,216,184,156,128,100,2022,mj,360.0
P1,50,–,51,42,33,24,15,2022,mj,75.0
P2,"50, 60",120,102,84,66,48,30,2022,mj,150.0
P3,"60, 80",127,111,95,78,61,45,2022,mj,150.0
SX,"02, 11",–,84,68,56,44,32,2022,mj,180.0
SY,"02, 12",–,87,71,58,45,32,2022,mj,180.0
SZ,"02, 13",–,84,68,56,44,32,2022,mj,180.0
AX (AX1),"02, 04, 11, 31",262,230,198,167,136,106,2023,mj,360.0
AX (AX2),"02, 11",–,97,83,72,61,51,2023,mj,180.0
AY (AY1),"02, 04, 12, 32",267,235,203,173,143,113,2023,mj,360.0
AY (AY2),"02, 12",–,97,83,72,61,51,2023,mj,180.0
AZ (AZ1),"02, 04, 13, 33",262,230,198,167,136,106,2023,mj,360.0
AZ (AZ2),"02, 13",–,97,83,72,61,51,2023,mj,180.0
BX,"04, 31, 87",249,216,183,151,119,88,2023,mj,360.0
BY,"04, 32, 88",257,224,191,158,126,94,2023,mj,360.0
BZ,"04, 33, 89",249,216,183,151,119,88,2023,mj,360.0
CX,"04, 31, 97",253,222,191,161,131,101,2023,mj,360.0
CY,"04, 32, 98",258,227,196,166,136,107,2023,mj,360.0
CZ,"04, 33, 99",253,222,191,161,131,101,2023,mj,360.0
DY (DY1),"02, 04, 12, 32",267,235,203,173,143,113,2023,mj,360.0
DY (DY2),"04, 32, 88",257,224,191,158,126,94,2023,mj,360.0
DY (DY3),"04, 32, 98",258,227,196,166,136,107,2023,mj,360.0
DY (DY4),"02, 12",–,97,83,72,61,51,2023,mj,180.0
DZ (DZ1),"02, 04, 13, 33",262,230,198,167,136,106,2023,mj,360.0
DZ (DZ2),"04, 33, 89",249,216,183,151,119,88,2023,mj,360.0
DZ (DZ3),"04, 33, 99",253,222,191,161,131,101,2023,mj,360.0
DZ (DZ4),"02, 13",–,97,83,72,61,51,2023,mj,180.0
P1,50,–,54,45,36,27,18,2023,mj,75.0
P2,"50, 60",126,108,90,72,54,36,2023,mj,150.0
SX,"02, 11",–,97,83,72,61,51,2023,mj,180.0
SY,"02, 12",–,97,83,72,61,51,2023,mj,180.0
SZ,"02, 13",–,97,83,72,61,51,2023,mj,180.0
AX,"02, 04, 11, 31",245,213,181,155,130,105,2024,mj,360.0
AY,"02, 04, 12, 32",244,212,180,154,129,104,2024,mj,360.0
AZ,"02, 04, 13, 33",254,221,188,162,136,110,2024,mj,360.0
BX,"04, 31, 87",244,209,174,147,120,93,2024,mj,360.0
BY,"04, 32, 88",244,209,174,147,120,93,2024,mj,360.0
BZ,"04, 33, 89",244,209,174,147,120,93,2024,mj,360.0
CX,"04, 31, 97",250,215,180,151,122,93,2024,mj,360.0
CY,"04, 32, 98",250,215,180,151,122,93,2024,mj,360.0
CZ,"04, 33, 99",250,215,180,151,122,93,2024,mj,360.0
SX,"02, 11",–,102,90,81,72,63,2024,mj,180.0
SY,"02, 12",–,100,89,80,71,62,2024,mj,180.0
SZ,"02, 13",–,109,96,86,77,68,2024,mj,180.0
AX,"02, 04, 11, 31",255,227,199,171,143,115,2025,mj,360.0
AY,"02, 04, 12, 32",255,227,199,171,143,115,2025,mj,360.0
AZ,"02, 04, 13, 33",256,226,196,168,140,113,2025,mj,360.0
BX,"04, 31, 87",249,220,191,167,143,119,2025,mj,360.0
BY,"04, 32, 88",246,218,190,166,142,118,2025,mj,360.0
BZ,"04, 33, 89",257,227,197,172,148,124,2025,mj,360.0
CX,"04, 31, 97",260,229,198,171,144,117,2025,mj,360.0
CY,"04, 32, 98",260,229,198,171,144,117,2025,mj,360.0
CZ,"04, 33, 99",260,229,198,171,144,117,2025,mj,360.0
SX,"02, 11",–,109,97,84,71,59,2025,mj,180.0
SY,"02, 12",–,109,97,84,71,59,2025,mj,180.0
SZ,"02, 13",–,108,95,82,69,57,2025,mj,180.0
AY,"02, 04, 12, 32",254,226,198,168,139,110,2023,on,360.0
AZ,"02, 04, 13, 33",254,226,198,168,139,110,2023,on,360.0
BX,"04, 31, 87",248,220,192,164,137,110,2023,on,360.0
BY,"04, 32, 88",248,220,192,164,137,110,2023,on,360.0
CY,"04, 32, 98",241,213,185,158,131,104,2023,on,360.0
CZ,"04, 33, 99",241,213,185,158,131,104,2023,on,360.0
DV,"04, 32, 78",249,225,201,174,147,120,2023,on,360.0
DZ,"04, 33, 89",248,220,192,164,137,110,2023,on,360.0
SX,"02, 11",–,103,89,76,63,51,2023,on,180.0
SY,"02, 12",–,103,89,76,63,51,2023,on,180.0
SZ,"02, 13",–,103,89,76,63,51,2023,on,180.0
AY,"02, 04, 12, 32",254,227,200,174,149,124,2024,on,360.0
AZ,"02, 04, 13, 33",254,227,200,174,149,124,2024,on,360.0
