option,maximum mark after weighting,combination of components,a*,a,b,c,d,e,year,month
CQ,240,"31, 41, 98",139,124,109,96,83,71,2022,mj
CR,240,"32, 42, 99",139,124,109,96,83,71,2022,mj
CRN,120,"32, 42",66,59,52,44,37,30,2022,mj
CY,240,"32, 42, 98",139,124,109,96,83,71,2022,mj
P1,75,50,–,51,42,33,24,15,2022,mj
P2,150,"50, 60",120,102,84,66,48,30,2022,mj
P3,150,"60, 80",127,111,95,78,61,45,2022,mj
SX,120,"11, 21",–,70,62,53,44,35,2022,mj
SY,120,"12, 22",–,69,61,52,43,34,2022,mj
SZ,120,"13, 23",–,69,61,52,43,34,2022,mj
AX,240,"11, 21, 31, 41",150,132,114,99,84,70,2023,mj
AY,240,"12, 22, 32, 42",148,130,112,97,82,67,2023,mj
BX,240,"31, 41, 87",153,135,117,101,85,70,2023,mj
BY,240,"32, 42, 88",150,132,114,98,82,67,2023,mj
BZ,240,"33, 43, 89",150,132,114,98,82,67,2023,mj
CP,240,"33, 43, 97",152,134,116,100,84,69,2023,mj
CQ,240,"31, 41, 98",148,131,114,99,85,71,2023,mj
CR,240,"32, 42, 99",152,134,116,100,84,69,2023,mj
CX,240,"31, 41, 97",154,136,118,102,86,71,2023,mj
CY,240,"32, 42, 98",146,129,112,97,83,69,2023,mj
P1,75,50,–,54,45,36,27,18,2023,mj
P2,150,"50, 60",126,108,90,72,54,36,2023,mj
P3,150,"60, 80",130,114,98,81,64,48,2023,mj
SX,120,"11, 21",–,67,59,51,43,35,2023,mj
SY,120,"12, 22",–,67,59,50,42,34,2023,mj
SZ,120,"13, 23",–,67,59,50,42,34,2023,mj
AX,240,"11, 21, 31, 41",147,130,113,98,83,69,2024,mj
AY,240,"12, 22, 32, 42",153,135,117,102,87,72,2024,mj
AZ,240,"13, 23, 33, 43",153,135,117,102,87,72,2024,mj
BW,240,"32, 41, 88",150,132,114,99,84,69,2024,mj
BX,240,"31, 41, 87",147,130,113,98,83,69,2024,mj
BY,240,"32, 42, 88",150,132,114,99,84,69,2024,mj
BZ,240,"33, 43, 89",150,132,114,99,84,69,2024,mj
CP,240,"33, 43, 97",154,135,116,101,86,71,2024,mj
CQ,240,"31, 41, 98",149,131,113,98,83,69,2024,mj
CR,240,"32, 42, 99",154,135,116,101,86,71,2024,mj
CW,240,"32, 41, 99",154,135,116,101,86,71,2024,mj
CX,240,"31, 41, 97",151,133,115,100,85,70,2024,mj
CY,240,"32, 42, 98",152,133,114,99,84,70,2024,mj
SX,120,"11, 21",–,67,59,51,43,35,2024,mj
SY,120,"12, 22",–,70,62,53,45,37,2024,mj
SZ,120,"13, 23",–,70,62,53,45,37,2024,mj
WA,240,"11, 21, 32, 41",150,132,114,99,84,70,2024,mj
CQ,240,"31, 41, 98",145,128,111,98,85,72,2025,mj
CR,240,"32, 42, 99",149,132,115,101,87,73,2025,mj
CW,240,"32, 41, 99",147,130,113,99,85,72,2025,mj
CX,240,"31, 41, 97",147,130,113,99,85,72,2025,mj
CY,240,"32, 42, 98",147,130,113,99,86,73,2025,mj
P2,150,"50, 60",126,108,90,72,54,36,2025,mj
SX,120,"11, 21",–,70,62,54,46,38,2025,mj
SY,120,"12, 22",–,66,59,51,43,36,2025,mj
SZ,120,"13, 23",–,70,62,54,46,38,2025,mj
WB,240,"32, 41, 87",144,128,112,97,83,69,2025,mj
CY,240,"32, 42, 98",142,127,112,98,84,71,2022,on
CZ,240,"33, 43, 99",145,129,113,98,83,69,2022,on
CZN,120,"33, 43",72,64,56,46,36,26,2022,on
P1,75,50,–,51,42,33,24,15,2022,on
SX,120,"11, 21",–,71,63,54,45,36,2022,on
SY,120,"12, 22",–,66,59,51,43,36,2022,on
SZ,120,"13, 23",–,71,63,54,45,36,2022,on
CZ,240,"33, 43, 99",155,139,123,107,91,76,2023,on
P1,75,50,–,54,45,36,27,18,2023,on
SX,120,"11, 21",–,70,61,52,44,36,2023,on
SY,120,"12, 22",–,68,59,51,43,35,2023,on
SZ,120,"13, 23",–,70,61,52,44,36,2023,on
AX,240,"11, 21, 31, 41",153,136,119,105,91,77,2024,on
AY,240,"12, 22, 32, 42",151,134,117,103,90,77,2024,on
AZ,240,"13, 23, 33, 43",153,136,119,105,91,77,2024,on
BT,240,"32, 42, 87",150,134,118,103,88,74,2024,on
BU,240,"33, 43, 88",153,137,121,106,91,76,2024,on
BY,240,"32, 42, 88",153,137,121,106,91,76,2024,on
BZ,240,"33, 43, 89",153,137,121,106,91,76,2024,on
CY,240,"32, 42, 98",152,135,118,103,88,74,2024,on
CZ,240,"33, 43, 99",154,137,120,105,90,75,2024,on
SX,120,"11, 21",–,69,60,52,45,38,2024,on
SY,120,"12, 22",–,67,58,51,44,38,2024,on
SZ,120,"13, 23",–,69,60,52,45,38,2024,on
AY,240,"12, 22, 32, 42",155,137,119,105,91,78,2025,on
AZ,240,"13, 23, 33, 43",154,136,118,104,90,77,2025,on
BT,240,"32, 42, 87",154,138,122,107,92,78,2025,on
BU,240,"33, 43, 88",148,133,118,103,89,75,2025,on
BY,240,"32, 42, 88",149,134,119,104,90,76,2025,on
BZ,240,"33, 43, 89",153,137,121,106,91,77,2025,on
CX,240,"31, 41, 97",153,136,119,105,91,77,2025,on
CY,240,"32, 42, 98",152,135,118,104,91,78,2025,on
CZ,240,"33, 43, 99",153,136,119,105,91,77,2025,on
SX,120,"11, 21",–,72,62,55,48,41,2025,on
SY,120,"12, 22",–,69,59,52,45,38,2025,on
SZ,120,"13, 23",–,69,59,52,45,38,2025,on
